"Number of Generations:, ",10.0, size of population: ,6, Number of mutations: ,1, mutation_rate: ,0.001,,,,,,
Count->,0.0, | , Total_ft->,57, | , Selected_ft->,26.0, Individual->, | ,010110010100010100100101111100010010010110000110001011011, | , Score->,0.9044309296264118
Count->,1.0, | , Total_ft->,57, | , Selected_ft->,26.0, Individual->, | ,010110010100010100100101111100010010010110000110001011011, | , Score->,0.9052997393570807
Count->,2.0, | , Total_ft->,57, | , Selected_ft->,26.0, Individual->, | ,010110010100010100100101111100010010010110000110001011011, | , Score->,0.9035621198957429
Count->,3.0, | , Total_ft->,57, | , Selected_ft->,29.0, Individual->, | ,010110010100010100100101111100010010010111111110010011010, | , Score->,0.9105125977410947
Count->,4.0, | , Total_ft->,57, | , Selected_ft->,29.0, Individual->, | ,010110010100010100100101111100010010010111111110010011010, | , Score->,0.9079061685490878
Count->,5.0, | , Total_ft->,57, | , Selected_ft->,30.0, Individual->, | ,110110010100010100100101111100010010010111111110010011010, | , Score->,0.9052997393570807
Count->,6.0, | , Total_ft->,57, | , Selected_ft->,28.0, Individual->, | ,010110010100010100100101111100010010010011111110010011010, | , Score->,0.9044309296264118
Count->,7.0, | , Total_ft->,57, | , Selected_ft->,28.0, Individual->, | ,010110010100010100100101111100010010010011111110010011010, | , Score->,0.9070373588184187
Count->,8.0, | , Total_ft->,57, | , Selected_ft->,28.0, Individual->, | ,010110010100010100100101111100010010010011111110010011010, | , Score->,0.9096437880104257
Count->,9.0, | , Total_ft->,57, | , Selected_ft->,28.0, Individual->, | ,010110010100010100100101111100010010010011111110010011010, | , Score->,0.9079061685490878
,,,,,,,,,,,,,
